date,ivix_50,ivix_1000,spread_1000_50,ratio_1000_50,z_20_spread,z_60_spread,z_60_ivix_1000,d1_ivix_1000,d3_ivix_1000,csi1000_close,signal_panic_reversal,signal_spread_revert,signal_spread_revert_confirmed,regime_state,regime_equity_exposure
2024-01-15,17.26,20.88,3.619999999999997,1.20973348783314,1.5317188878735002,2.4236457823822444,1.955595144076539,-0.0004786979415989,0.01953125,5559.38,0,0,0,S0,20%
2024-01-16,16.59,21.0,4.41,1.2658227848101269,1.9578414307762144,3.0351878329837656,2.1384624750605057,0.0057471264367816,-0.0214352283317801,5539.47,0,0,0,S0,20%
2024-01-17,19.18,18.84,-0.3399999999999998,0.9822732012513036,-2.3596023267498745,-1.7663453406809335,0.55058475138741,-0.1028571428571428,-0.0981330780277645,5389.12,0,0,0,S1,50%
2024-01-18,18.94,20.71,1.7699999999999996,1.0934530095036958,-0.48381828938899,0.3528876942058631,1.8947765305405813,0.0992569002123142,-0.0081417624521071,5373.42,0,0,0,S1,50%
2024-01-19,17.8,19.83,2.0299999999999976,1.114044943820225,-0.2601638328560156,0.6084554400877801,1.2031847413417347,-0.0424915499758572,-0.0557142857142858,5306.99,0,0,0,S1,50%
2024-01-22,21.61,19.83,-1.7800000000000011,0.917630726515502,-2.905291271621921,-2.918818379721428,1.1625487331305402,0.0,0.0525477707006367,5000.83,0,0,0,S1,50%
2024-01-23,19.67,22.0,2.3299999999999983,1.1184544992374172,0.1765940487218063,0.8588105673068384,2.5438764155494025,0.1094301563287949,0.0622887493964268,5079.63,0,0,0,S0,20%
2024-01-24,18.26,20.29,2.0299999999999976,1.1111719605695507,0.0031923689902491,0.5638780286346882,1.3148012493675978,-0.0777272727272727,0.0231971759959657,5143.41,0,0,0,S1,50%
2024-01-25,17.43875318,23.68,6.241246820000001,1.3578952437470075,2.528992085015858,3.791762328302808,3.2333334835385528,0.1670773780187284,0.1941502773575392,5316.2,0,0,0,S0,20%
2024-01-26,16.97,22.21,5.240000000000002,1.3087802003535651,1.661425531329832,2.7422572762338024,2.184671193724892,-0.0620777027027026,0.0095454545454545,5269.76,0,0,0,S0,20%
2024-01-29,18.13,20.88,2.75,1.1516822945394374,0.2052258739862424,0.8598295671381843,1.341703346670642,-0.0598829356145881,0.0290783637259732,5131.25,0,1,0,S0,20%
2024-01-30,19.5,21.0,1.5,1.0769230769230769,-0.5066414378534102,-0.0717747416392324,1.361263104955134,0.0057471264367816,-0.1131756756756756,4984.66,0,0,0,S1,50%
2024-01-31,21.71,19.12,-2.59,0.8807001381851681,-2.3067974169479624,-2.836642664019325,0.2477639486749348,-0.0895238095238094,-0.1391265195857721,4785.03,0,0,0,S1,50%
2024-02-01,21.91,22.0,0.0899999999999998,1.004107713372889,-0.940441395636481,-0.968323107815224,1.8456209664984364,0.1506276150627614,0.053639846743295,4750.44,0,0,0,S1,50%
2024-02-02,23.72,30.0,6.280000000000001,1.2647554806070826,1.725075858117003,2.9567763269031144,4.877756739586511,0.3636363636363635,0.4285714285714286,4574.67,0,0,0,S0,20%
2024-02-05,24.99,30.5,5.510000000000002,1.2204881952781113,1.2747484137416247,2.3119736198433505,4.1947508064849295,0.0166666666666666,0.5951882845188283,4293.07,0,0,0,S0,20%
